country,year,population,life_expectancy_tidy,gni_per_capita_tidy
Afghanistan,1800,3.28M,28.2,
Angola,1800,1.57M,27.0,
Albania,1800,400k,35.4,
Andorra,1800,2650,35.4,
United Arab Emirates,1800,40.2k,30.7,
Argentina,1800,534k,33.2,
Armenia,1800,413k,34.0,
Antigua and Barbuda,1800,37k,33.5,
Australia,1800,200k,34.0,
Austria,1800,3M,34.4,
Azerbaijan,1800,880k,29.2,
Burundi,1800,899k,31.5,
Belgium,1800,3.25M,40.0,
Benin,1800,637k,31.0,
Burkina Faso,1800,1.67M,29.2,
Bangladesh,1800,19.2M,25.5,
Bulgaria,1800,2.25M,35.8,
Bahrain,1800,64.5k,30.3,
Bahamas,1800,27.4k,35.2,
Bosnia and Herzegovina,1800,852k,35.1,
Belarus,1800,2.36M,36.2,
Belize,1800,25.5k,26.5,
Bolivia,1800,887k,33.0,
Brazil,1800,2.5M,32.0,
Barbados,1800,81.7k,32.1,
Brunei,1800,2260,29.2,
Bhutan,1800,392k,28.8,
Botswana,1800,121k,33.6,
Central African Republic,1800,479k,30.0,
Canada,1800,500k,39.0,
Switzerland,1800,1.75M,38.0,
Chile,1800,771k,32.0,
China,1800,330M,32.0,
Cote d'Ivoire,1800,1.09M,31.2,
Cameroon,1800,1.86M,28.8,
"Congo, Dem. Rep.",1800,5.16M,31.6,
"Congo, Rep.",1800,314k,32.7,
Colombia,1800,1.21M,32.0,
Comoros,1800,56.3k,32.1,
Cape Verde,1800,55.7k,33.8,
Costa Rica,1800,53k,30.2,
Cuba,1800,272k,32.2,
Cyprus,1800,184k,38.5,
Czech Republic,1800,5.52M,35.0,
Germany,1800,18M,38.4,
Djibouti,1800,22.8k,29.9,
Dominica,1800,19.9k,29.9,
Denmark,1800,1M,37.4,
Dominican Republic,1800,150k,29.9,
Algeria,1800,2.5M,28.8,
Ecuador,1800,500k,32.9,
Egypt,1800,3.5M,33.0,
Eritrea,1800,205k,30.2,
Spain,1800,11.5M,29.5,
Estonia,1800,334k,36.1,
Ethiopia,1800,12M,29.7,
Finland,1800,800k,36.6,
Fiji,1800,131k,26.1,
France,1800,29M,34.0,
"Micronesia, Fed. Sts.",1800,16.4k,26.7,
Gabon,1800,158k,30.6,
United Kingdom,1800,10.8M,38.6,
Georgia,1800,1.07M,31.9,
Ghana,1800,2.02M,28.0,
Guinea,1800,984k,29.5,
Gambia,1800,103k,28.8,
Guinea-Bissau,1800,218k,32.0,
Equatorial Guinea,1800,80.4k,29.8,
Greece,1800,2.25M,36.6,
Grenada,1800,29.4k,31.4,
Guatemala,1800,463k,25.8,
Guyana,1800,166k,31.1,
"Hong Kong, China",1800,20k,34.9,
Honduras,1800,130k,33.9,
Holy See,1800,905,,
Croatia,1800,1.23M,36.1,
Haiti,1800,500k,29.0,
Hungary,1800,3.25M,36.0,
Indonesia,1800,16.1M,30.0,
India,1800,201M,25.4,
Ireland,1800,5.25M,38.3,
Iran,1800,6M,25.6,
Iraq,1800,1M,31.2,
Iceland,1800,61.4k,42.9,
Israel,1800,210k,32.0,
Italy,1800,19M,29.7,
Jamaica,1800,300k,34.2,
Jordan,1800,200k,31.7,
Japan,1800,28M,36.4,
Kazakhstan,1800,2.04M,26.2,
Kenya,1800,2.57M,25.5,
Kyrgyz Republic,1800,530k,23.9,
Cambodia,1800,2.09M,35.0,
Kiribati,1800,17.9k,24.9,
St. Kitts and Nevis,1800,17.2k,24.9,
South Korea,1800,9.39M,25.8,
Kuwait,1800,81.3k,26.0,
Lao,1800,470k,31.9,
Lebanon,1800,300k,29.7,
Liberia,1800,314k,31.1,
Libya,1800,230k,33.1,
St. Lucia,1800,24k,28.0,
